
data;
param rawBarWidth := 120;
param: ORDERS: widths  barsNum  maxRelax :=
1 11 61 0
2 65 9 54
3 43 14 0
4 40 13 0
5 75 1 35
6 119 6 0
7 37 23 0
8 99 5 0
9 110 1 11
10 85 8 0
11 99 1 14
12 2 378 0
13 54 9 0
14 114 5 0
15 119 1 5
16 6 130 0
17 87 5 0
18 98 1 11
19 84 10 0
20 103 2 19
21 10 70 0
22 40 10 30
23 25 31 0
24 21 27 0
25 37 2 16
26 88 12 0
27 119 1 31
28 1 802 0
29 81 5 0
30 119 1 38
31 98 8 0
32 97 7 0
33 96 10 0
34 95 8 0
35 9 89 0
36 38 21 0
37 90 5 52
38 4 190 0
39 102 7 0
40 115 8 0
41 116 2 1
42 71 10 0
43 50 13 0
44 111 5 0
45 115 1 4
46 70 5 0
47 26 26 0
48 61 6 35
49 33 18 0
50 91 3 58
51 52 15 0
52 47 15 0
53 51 1 4
54 93 10 0
55 105 2 12
56 118 6 0
57 119 1 1
58 100 5 0
59 112 1 12
60 120 4 0
61 80 9 0
62 102 1 22
63 79 8 0
64 106 1 27
65 45 16 0
66 118 2 73
67 59 14 0
68 73 19 0
69 42 23 0
70 95 2 53
71 83 9 0
72 3 200 0
73 64 33 61
74 28 22 0
75 33 4 5
76 22 34 0
77 69 4 47
78 91 2 0
79 104 6 0
80 17 47 0
81 16 39 0
82 54 6 38
83 117 4 0
84 65 7 0
85 89 1 24
86 60 11 0
87 101 2 41
88 14 49 0
89 67 10 0
90 68 12 0
91 101 3 33
92 27 22 0
93 70 5 43
94 105 12 0
95 109 6 0
96 23 29 0
97 75 6 52
98 69 8 0
99 76 1 7
100 110 4 0
101 119 1 9
102 24 27 0
103 94 7 0
104 58 18 0
105 51 14 0
106 117 3 66
107 15 44 0
108 20 10 5
109 74 9 0
110 93 1 19
111 72 4 0
112 61 12 0
113 18 29 0
114 42 5 24
115 116 7 0
116 118 1 2
117 92 8 0
118 19 32 0
119 74 5 55
120 76 10 0
121 75 5 0
122 89 1 14
123 41 13 0
124 82 11 0
125 57 9 0
126 89 1 32
127 62 12 0
128 90 7 0
129 112 1 22
130 56 12 0
131 65 3 9
132 108 4 0
133 8 93 0
134 49 10 0
135 78 2 29
136 107 6 0
137 113 5 0
138 116 1 3
139 112 3 0
140 119 1 7
141 12 52 0
142 96 10 84
143 36 26 0
144 32 26 0
145 7 103 0
146 113 14 106
147 46 19 0
148 29 23 0
149 68 4 39
150 39 14 0
151 103 2 64
152 55 5 0
153 112 1 57
154 106 6 0
155 112 1 6
156 35 35 0
157 48 20 0
158 103 7 0
159 110 1 7
160 13 63 0
161 59 8 46
162 34 24 0
163 77 17 0
164 30 25 0
165 38 4 8
166 5 174 0
167 63 13 0
168 103 2 40
169 44 13 0
170 94 1 50
171 78 11 0
172 89 7 0
173 31 26 0
174 92 3 61
175 53 14 0
176 86 10 0
177 64 9 0
178 75 2 11
179 20 25 0
180 24 5 4
181 66 11 0
182 101 7 0
183 108 1 7
;
