
data;
param rawBarWidth := 120;
param: ORDERS: widths  barsNum  maxRelax :=
1 45 16 0
2 52 1 7
3 34 24 0
4 102 2 68
5 30 17 0
6 68 12 0
7 55 14 0
8 82 1 27
9 78 6 0
10 84 1 6
11 65 13 0
12 8 81 0
13 40 13 0
14 107 2 67
15 83 11 0
16 96 1 13
17 7 84 0
18 89 13 82
19 48 21 0
20 41 23 0
21 64 8 0
22 56 14 0
23 58 1 2
24 108 5 0
25 14 48 0
26 37 18 0
27 83 3 46
28 49 12 0
29 10 61 0
30 108 11 98
31 102 10 0
32 38 20 0
33 11 60 0
34 81 10 70
35 94 10 0
36 57 14 0
37 100 3 43
38 74 10 0
39 98 4 0
40 20 38 0
41 37 6 17
42 73 11 0
43 119 4 0
44 99 11 0
45 106 1 7
46 77 11 0
47 111 2 34
48 82 7 0
49 101 1 19
50 106 6 0
51 36 20 0
52 33 22 0
53 89 7 0
54 71 9 0
55 101 1 30
56 92 4 0
57 93 1 1
58 16 50 0
59 25 26 0
60 101 8 0
61 112 1 11
62 3 208 0
63 13 35 10
64 85 10 0
65 75 14 0
66 108 2 33
67 2 354 0
68 21 35 0
69 78 8 57
70 110 5 0
71 80 10 0
72 84 9 0
73 59 17 0
74 96 7 0
75 91 4 0
76 104 1 13
77 12 61 0
78 120 8 0
79 24 28 0
80 61 11 0
81 54 11 0
82 104 8 0
83 118 5 0
84 39 14 0
85 51 3 12
86 13 60 0
87 100 8 0
88 88 11 0
89 72 12 0
90 26 31 0
91 89 4 63
92 44 17 0
93 32 25 0
94 116 4 0
95 119 1 3
96 18 42 0
97 6 116 0
98 22 33 0
99 65 5 43
100 62 13 0
101 97 6 0
102 105 1 8
103 52 12 0
104 107 3 55
105 87 6 0
106 91 1 4
107 113 7 0
108 116 1 3
109 86 10 0
110 107 1 21
111 35 17 0
112 70 5 0
113 118 1 48
114 47 11 0
115 70 2 23
116 31 14 0
117 62 3 31
118 43 26 0
119 112 1 0
120 118 1 6
121 111 4 0
122 42 22 0
123 27 34 0
124 48 5 21
125 60 11 0
126 46 16 0
127 50 3 4
128 79 7 0
129 76 7 0
130 93 1 17
131 115 6 0
132 119 1 4
133 50 9 0
134 5 150 0
135 63 18 0
136 103 5 0
137 105 5 0
138 108 1 3
139 9 73 0
140 105 16 96
141 23 27 0
142 28 28 0
143 51 15 0
144 58 2 7
145 93 9 0
146 101 1 8
147 58 8 0
148 82 1 24
149 4 158 0
150 73 27 69
151 69 8 0
152 85 1 16
153 109 11 0
154 53 9 0
155 19 40 0
156 17 36 0
157 93 4 76
158 117 7 0
159 118 1 1
160 29 33 0
161 66 10 0
162 107 8 0
163 111 1 4
164 90 6 0
165 110 1 20
166 67 13 0
167 104 3 37
168 1 705 0
169 107 97 106
170 114 10 0
171 95 4 0
172 15 42 0
173 69 4 54
174 81 7 0
175 96 1 15
;
